id;id_doctor;email;office_name;address
1;array Delaware;Augustus_Swaniawski@hotmail.com;index Keyboard Overpass;open-source
2;circuit Engineer Intelligent;Shanel.Schmidt@yahoo.com;Saint Barthelemy;generating Savings Account Indian Rupee
3;haptic Macedonia;Rosendo.Rowe83@gmail.com;Electronics parse navigate;pricing structure Pizza implementation
4;Cambridgeshire Cotton deploy;Mireya.Satterfield59@yahoo.com;reintermediate;Clothing Chair
5;Savings Account;Cheyanne.Schimmel@yahoo.com;Utah Mission;protocol Awesome
6;Oklahoma;Amie_Mitchell@yahoo.com;multi-byte 3rd generation;initiative deposit Car
7;out-of-the-box mobile program;Reva.Larson@hotmail.com;Wooden policy;Cloned architect
8;Auto Loan Account;Nyasia_Zulauf29@hotmail.com;Table payment;digital Metal
9;Assistant navigate;Kian.Wiegand@hotmail.com;Maine;strategic Clothing Toys
10;Indiana Denar Paradigm;Tristin85@hotmail.com;Synergized generate;turquoise redundant
