id;id_funeral_history;customer;phone;purchase_made;date;state
1;52543;Realigned;1-801-724-1937;ivory Credit Card Account;2019-11-04;Louisiana bus
2;80619;parsing Proactive;176-133-6006;Pizza;2019-11-04;Assistant
3;7267;Generic;1-685-233-2007;systems;2019-11-03;Human Right-sized neural
4;5909;Future invoice;(605) 113-4342 x83513;Assistant Sleek;2019-11-04;Practical Soft Chair
5;91807;bandwidth-monitored SMS zero administration;1-876-880-9967 x53685;invoice;2019-11-04;magenta
6;12024;Ergonomic Concrete Bike Small Rubber Shoes;(385) 022-2775;Unbranded Fresh Pizza;2019-11-03;matrices visionary Officer
7;62617;Dominica;720-452-9785 x56028;Investment Account;2019-11-04;Sleek Lead Vatu
8;82928;XSS;056.403.9447 x163;Table Soap Web;2019-11-04;wireless deposit
9;67642;Wooden Innovative;496.292.6479 x5264;Future;2019-11-04;Sleek Rubber Car Corporate
10;23885;Walk;(344) 614-6424 x255;Sports Movies;2019-11-04;Sports Gorgeous web-enabled
