id;id_pharmacy_history;code;client;phone;purchase_made;date
1;73081;Steel RSS;Tunisia Customer-focused Planner;1-573-548-0177 x51076;Trail;2019-11-04
2;94404;Sausages Mission Executive;program Borders;1-342-525-7436;Central front-end;2019-11-03
3;86557;Architect content generating;New Hampshire mobile Fall;108.046.8282 x03824;Cambridgeshire;2019-11-04
4;22074;driver connect Quality;bus;(516) 263-8832 x7259;Industrial Manager Zimbabwe Dollar;2019-11-03
5;8981;Books;array;670-107-9786 x87887;Ergonomic target;2019-11-03
6;7764;infomediaries;Movies forecast;1-168-596-0091 x582;Ergonomic Cambridgeshire open-source;2019-11-04
7;47825;Steel;whiteboard composite Synergistic;(482) 914-2903;Streets Optimized;2019-11-04
8;21927;Kids grey systems;Concrete SMS Cambridgeshire;458-650-6652 x472;projection intermediate Nebraska;2019-11-04
9;14287;synthesize foreground Avon;RAM;670-274-3101 x57072;circuit Awesome Fresh Shoes;2019-11-04
10;34037;Mobility;system engine;1-831-258-8357;Chief technologies Regional;2019-11-04
