id;id_provider_history;code;client;phone;purchase_made;date
1;71095;tan program;Metal Auto Loan Account;(055) 194-3550;bleeding-edge Rubber;2019-11-04
2;54892;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham;154.464.7319 x8879;Frozen matrix;2019-11-03
3;20500;streamline;synthesize Arizona synthesizing;1-877-271-8118;payment;2019-11-04
4;90786;structure Maryland;indexing models e-enable;(635) 745-5238 x335;Unbranded Concrete Soap Bouvet Island (Bouvetoya);2019-11-04
5;93983;Credit Card Account;Belize Dollar Bacon;(645) 785-7917 x37277;Electronics;2019-11-04
6;71406;Cambridgeshire navigate Licensed;Fantastic indexing;1-635-751-4247;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);2019-11-04
7;71617;Money Market Account;Chips National Idaho;442-961-9515 x162;bus;2019-11-04
8;93211;Virginia;solid state Clothing deposit;536.040.7198 x9941;Visionary;2019-11-04
9;83889;Fresh;strategy instruction set Persistent;330-732-8706 x3134;JSON National;2019-11-04
10;34695;capacitor Path;Grocery;1-121-541-4093 x37526;Electronics;2019-11-04
